"Año";"Periodo";"Casos acumulados (* desde el 26 de abril Sanidad informa de pruebas PCR)"
"2020";"Día 18 de junio";"70.934"
"2020";"Día 19 de junio";"71.007"
"2020";"Día 20 de junio";"71.144"
"2020";"Día 21 de junio";"71.223"
"2020";"Día 22 de junio";"71.248"
"2020";"Día 23 de junio";"71.359"
"2020";"Día 24 de junio";"71.434"
"2020";"Día 25 de junio";"71.579"
"2020";"Día 26 de junio";"71.632"
"2020";"Día 27 de junio";"71.839"
"2020";"Día 28 de junio";"71.881"
"2020";"Día 29 de junio";"71.885"
"2020";"Día 30 de junio";"71.950"
"2020";"Día 1 de julio";"72.033"
"2020";"Día 2 de julio";"72.096"
"2020";"Día 3 de julio";"72.168"
"2020";"Día 6 de julio";"72.269"
"2020";"Día 7 de julio";"72.336"
"2020";"Día 8 de julio";"72.409"
"2020";"Día 9 de julio";"72.469"
"2020";"Día 10 de julio";"72.532"
"2020";"Día 13 de julio";"72.649"
"2020";"Día 14 de julio";"72.695"
"2020";"Día 15 de julio";"72.797"
"2020";"Día 16 de julio";"72.882"
"2020";"Día 17 de julio";"73.026"
"2020";"Día 20 de julio";"73.296"
"2020";"Día 21 de julio";"73.445"
"2020";"Día 22 de julio";"73.552"
"2020";"Día 23 de julio";"73.767"
"2020";"Día 24 de julio";"73.944"
"2020";"Día 27 de julio";"74.700"
"2020";"Día 28 de julio";"74.886"
"2020";"Día 29 de julio";"75.110"
"2020";"Día 30 de julio";"75.552"
"2020";"Día 31 de julio";"76.145"
"2020";"Día 3 de agosto";"76.145"
"2020";"Día 4 de agosto";"77.918"
"2020";"Día 5 de agosto";"78.531"
"2020";"Día 6 de agosto";"79.262"
"2020";"Día 7 de agosto";"80.673"
"2020";"Día 10 de agosto";"83.120"
"2020";"Día 11 de agosto";"83.606"
"2020";"Día 12 de agosto";"83.606"
"2020";"Día 13 de agosto";"86.752"
"2020";"Día 14 de agosto";"87.967"
"2020";"Día 17 de agosto";"93.359"
"2020";"Día 18 de agosto";"94.978"
"2020";"Día 19 de agosto";"97.185"
"2020";"Día 20 de agosto";"99.529"
"2020";"Día 21 de agosto";"102.382"
"2020";"Día 24 de agosto";"108.374"
"2020";"Día 25 de agosto";"110.300"
"2020";"Día 26 de agosto";"112.514"
"2020";"Día 27 de agosto";"115.159"
"2020";"Día 28 de agosto";"118.600"
"2020";"Día 31 de agosto";"126.057"
"2020";"Día 1 de septiembre";"128.178"
"2020";"Día 2 de septiembre";"130.579"
"2020";"Día 3 de septiembre";"133.656"
"2020";"Día 4 de septiembre";"136.901"
"2020";"Día 7 de septiembre";"146.341"
"2020";"Día 8 de septiembre";"149.262"
"2020";"Día 9 de septiembre";"152.185"
"2020";"Día 10 de septiembre";"156.026"
"2020";"Día 11 de septiembre";"160.221"
"2020";"Día 14 de septiembre";"171.085"
"2020";"Día 15 de septiembre";"174.680"
"2020";"Día 16 de septiembre";"178.118"
"2020";"Día 17 de septiembre";"181.959"
"2020";"Día 18 de septiembre";"187.045"
"2020";"Día 21 de septiembre";"199.036"
"2020";"Día 22 de septiembre";"202.688"
"2020";"Día 23 de septiembre";"206.418"
"2020";"Día 24 de septiembre";"210.768"
"2020";"Día 25 de septiembre";"213.709"
"2020";"Día 28 de septiembre";"227.158"
"2020";"Día 29 de septiembre";"230.386"
"2020";"Día 30 de septiembre";"235.196"
"2020";"Día 1 de octubre";"238.423"
"2020";"Día 2 de octubre";"240.959"
"2020";"Día 5 de octubre";"247.575"
"2020";"Día 6 de octubre";"252.762"
"2020";"Día 7 de octubre";"255.615"
"2020";"Día 8 de octubre";"258.767"
"2020";"Día 9 de octubre";"261.762"
"2020";"Día 12 de octubre";"266.896"
"2020";"Día 13 de octubre";"268.022"
"2020";"Día 14 de octubre";"270.745"
"2020";"Día 15 de octubre";"273.615"
"2020";"Día 16 de octubre";"276.790"
"2020";"Día 19 de octubre";"281.388"
"2020";"Día 20 de octubre";"283.130"
"2020";"Día 21 de octubre";"286.527"
"2020";"Día 22 de octubre";"290.159"
"2020";"Día 23 de octubre";"292.754"
"2020";"Día 26 de octubre";"296.638"
"2020";"Día 27 de octubre";"298.823"
"2020";"Día 28 de octubre";"301.493"
"2020";"Día 29 de octubre";"303.945"
"2020";"Día 30 de octubre";"306.335"
"2020";"Día 2 de noviembre";"309.803"
"2020";"Día 3 de noviembre";"310.290"
"2020";"Día 4 de noviembre";"314.851"
"2020";"Día 5 de noviembre";"317.391"
"2020";"Día 6 de noviembre";"319.651"
"2020";"Día 9 de noviembre";"322.960"
"2020";"Día 10 de noviembre";"324.203"
"2020";"Día 11 de noviembre";"326.408"
"2020";"Día 12 de noviembre";"328.548"
"2020";"Día 13 de noviembre";"330.483"
"2020";"Día 16 de noviembre";"333.215"
"2020";"Día 17 de noviembre";"334.655"
"2020";"Día 18 de noviembre";"336.384"
"2020";"Día 19 de noviembre";"337.999"
"2020";"Día 20 de noviembre";"339.405"
"2020";"Día 23 de noviembre";"341.790"
"2020";"Día 24 de noviembre";"342.931"
"2020";"Día 25 de noviembre";"344.246"
"2020";"Día 26 de noviembre";"345.469"
"2020";"Día 27 de noviembre";"346.850"
"2020";"Día 30 de noviembre";"348.959"
"2020";"Día 1 de diciembre";"350.319"
"2020";"Día 2 de diciembre";"351.616"
"2020";"Día 3 de diciembre";"353.011"
"2020";"Día 4 de diciembre";"354.326"
"2020";"Día 7 de diciembre";"356.659"
"2020";"Día 9 de diciembre";"357.531"
"2020";"Día 10 de diciembre";"359.246"
"2020";"Día 11 de diciembre";"361.368"
"2020";"Día 14 de diciembre";"365.184"
"2020";"Día 15 de diciembre";"367.188"
"2020";"Día 16 de diciembre";"369.522"
"2020";"Día 17 de diciembre";"371.876"
"2020";"Día 18 de diciembre";"374.114"
"2020";"Día 21 de diciembre";"377.921"
"2020";"Día 22 de diciembre";"380.312"
"2020";"Día 23 de diciembre";"382.855"
"2020";"Día 24 de diciembre";"385.625"
"2020";"Día 28 de diciembre";"388.498"
"2020";"Día 29 de diciembre";"391.516"
"2020";"Día 30 de diciembre";"393.298"
"2020";"Día 31 de diciembre";"399.499"
"2021";"Día 4 de enero";"403.618"
"2021";"Día 5 de enero";"408.040"
"2021";"Día 7 de enero";"416.724"
"2021";"Día 8 de enero";"421.295"
"2021";"Día 11 de enero";"429.181"
"2021";"Día 12 de enero";"434.103"
"2021";"Día 13 de enero";"438.535"
"2021";"Día 14 de enero";"443.790"
"2021";"Día 15 de enero";"449.237"
"2021";"Día 18 de enero";"458.212"
"2021";"Día 19 de enero";"463.716"
"2021";"Día 20 de enero";"469.934"
"2021";"Día 21 de enero";"477.031"
"2021";"Día 22 de enero";"483.391"
"2021";"Día 25 de enero";"493.130"
"2021";"Día 26 de enero";"498.502"
"2021";"Día 27 de enero";"504.690"
"2021";"Día 28 de enero";"510.352"
"2021";"Día 29 de enero";"515.790"
"2021";"Día 1 de febrero";"523.791"
"2021";"Día 2 de febrero";"527.942"
"2021";"Día 3 de febrero";"533.074"
"2021";"Día 4 de febrero";"537.273"
"2021";"Día 5 de febrero";"541.095"
"2021";"Día 8 de febrero";"546.700"
"2021";"Día 9 de febrero";"549.577"
"2021";"Día 10 de febrero";"553.202"
"2021";"Día 11 de febrero";"556.448"
"2021";"Día 12 de febrero";"559.191"
"2021";"Día 15 de febrero";"563.644"
"2021";"Día 16 de febrero";"565.986"
"2021";"Día 17 de febrero";"568.572"
"2021";"Día 18 de febrero";"570.874"
"2021";"Día 19 de febrero";"573.169"
"2021";"Día 22 de febrero";"576.700"
"2021";"Día 23 de febrero";"578.371"
"2021";"Día 24 de febrero";"580.443"
"2021";"Día 25 de febrero";"582.299"
"2021";"Día 26 de febrero";"583.862"
"2021";"Día 1 de marzo";"586.913"
"2021";"Día 2 de marzo";"588.500"
"2021";"Día 3 de marzo";"590.216"
"2021";"Día 4 de marzo";"591.869"
"2021";"Día 5 de marzo";"593.398"
"2021";"Día 8 de marzo";"596.130"
"2021";"Día 9 de marzo";"597.385"
"2021";"Día 10 de marzo";"598.859"
"2021";"Día 11 de marzo";"600.316"
"2021";"Día 12 de marzo";"601.592"
"2021";"Día 15 de marzo";"603.840"
"2021";"Día 16 de marzo";"605.175"
"2021";"Día 17 de marzo";"606.753"
"2021";"Día 18 de marzo";"608.251"
"2021";"Día 22 de marzo";"611.228"
"2021";"Día 23 de marzo";"612.775"
"2021";"Día 24 de marzo";"614.642"
"2021";"Día 25 de marzo";"616.485"
"2021";"Día 26 de marzo";"618.160"
"2021";"Día 29 de marzo";"621.356"
"2021";"Día 30 de marzo";"623.137"
"2021";"Día 31 de marzo";"625.215"
"2021";"Día 1 de abril";"627.742"
"2021";"Día 3 de abril";"629.080"
"2021";"Día 5 de abril";"629.982"
"2021";"Día 6 de abril";"632.515"
"2021";"Día 7 de abril";"635.461"
"2021";"Día 8 de abril";"638.225"
;;
;;
"Métrica":"Casos acumulados (* desde el 26 de abril Sanidad informa de pruebas PCR)"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Número de casos en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-casos-coronavirus-andalucia/61773e36-1f49-4342-937c-d49f1a78e140/madrid/304"
"Titulo":"Evolución de casos de coronavirus en Comunidad de Madrid"
"Subtitulo":""
